      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2021 MAR 17   23 55 46.8 39.8576 21.9438    5         1.6
 2021 MAR 18   00 16 29.7 39.7733 22.1182    8         2.3
 2021 MAR 18   00 44 45.3 39.8080 21.9315    7         1.7
 2021 MAR 18   00 46 47.8 39.7801 22.0793    7         2.0
 2021 MAR 18   00 51 22.3 36.1285 26.9843    8         3.0
 2021 MAR 18   00 59 57.1 39.7920 22.0665    6         1.7
 2021 MAR 18   01 24 04.3 38.1619 22.9147   86         2.1
 2021 MAR 18   01 59 34.8 38.4645 21.6582   13         1.1
 2021 MAR 18   02 04 26.4 39.4272 24.0518   17         2.5
 2021 MAR 18   02 05 27.0 39.7380 22.1434    6         1.8
 2021 MAR 18   02 14 27.6 39.4308 24.0225   16         2.3
 2021 MAR 18   02 35 06.2 39.7298 22.1031    4         1.4
 2021 MAR 18   02 41 33.5 39.7939 21.9456    3         1.9
 2021 MAR 18   02 46 51.9 35.5060 26.1163   14         2.2
 2021 MAR 18   02 55 47.1 39.7417 22.0912    5         1.4
 2021 MAR 18   03 53 36.8 39.7563 22.1251    8         1.2
 2021 MAR 18   04 15 21.7 38.3034 23.6852   11         2.4
 2021 MAR 18   04 26 38.1 37.0871 21.5067   19         2.0
 2021 MAR 18   04 55 55.1 39.8122 22.0216    4         2.0
 2021 MAR 18   05 22 08.2 38.3611 22.1278    9         1.2
 2021 MAR 18   05 39 43.0 39.7806 21.9534    7         1.8
 2021 MAR 18   07 05 27.2 39.7334 22.1169    6         0.8
 2021 MAR 18   07 11 50.8 39.7865 22.0097    8         0.9
 2021 MAR 18   07 35 33.4 39.7261 22.1535    8         1.6
 2021 MAR 18   09 02 59.7 37.9495 21.5836   16         2.4
 2021 MAR 18   09 13 04.2 39.7801 22.0226    7         1.4
 2021 MAR 18   09 34 12.6 39.7701 22.1141    6         1.2
 2021 MAR 18   09 49 27.2 38.3743 22.1219    8         1.3
 2021 MAR 18   11 26 32.4 39.7234 22.1800    8         1.7
 2021 MAR 18   11 35 13.8 39.7701 22.1077    9         1.7
 2021 MAR 18   11 44 53.1 39.7664 22.1095    9         2.0
 2021 MAR 18   12 33 31.2 36.6879 27.3056   16         3.0
 2021 MAR 18   12 41 06.8 39.7179 22.1571   10         1.4
 2021 MAR 18   13 03 24.9 39.7426 22.1150    7         1.7
 2021 MAR 18   13 07 15.4 39.7563 22.0674    5         1.3
 2021 MAR 18   13 29 04.3 40.1230 21.5891   29         1.8
 2021 MAR 18   13 35 31.6 39.8689 21.9328    6         1.9
 2021 MAR 18   13 48 42.4 39.7952 22.0303    8         1.6
 2021 MAR 18   14 21 21.4 36.1890 25.7593  148         2.8
 2021 MAR 18   15 24 00.7 39.8245 22.0468    7         1.5
 2021 MAR 18   15 37 15.4 39.8296 22.0180    7         2.1
 2021 MAR 18   15 48 32.4 39.8351 22.0042    6         1.6
 2021 MAR 18   16 10 32.4 39.6194 22.2171    6         1.5
 2021 MAR 18   17 01 11.9 39.7366 22.0963    9         1.1
 2021 MAR 18   17 09 20.2 39.8625 21.9539    4         2.5
 2021 MAR 18   17 15 38.1 38.3446 21.8330   10         2.1
 2021 MAR 18   17 43 58.3 37.5558 23.5794   14         1.6
 2021 MAR 18   17 45 15.0 39.8094 22.0409    4         1.8
 2021 MAR 18   17 54 06.5 39.6304 22.2610    6         2.3
 2021 MAR 18   18 08 32.8 39.7435 22.0958   10         1.4
 2021 MAR 18   18 34 00.0 38.3794 24.9788   15         2.0
 2021 MAR 18   20 12 21.5 38.3363 21.7442   14         0.9
 2021 MAR 18   20 20 35.2 38.8596 21.2558   22         1.4
 2021 MAR 18   20 25 27.1 38.7813 23.3574   19         1.4
 2021 MAR 18   20 25 58.9 38.3455 21.8394   12         1.1
 2021 MAR 18   20 28 05.6 39.7133 22.1809    8         1.6
 2021 MAR 18   20 28 48.3 39.7069 22.2615    2         2.2
 2021 MAR 18   20 50 05.4 39.7481 22.0747    4         1.2
 2021 MAR 18   21 03 14.2 35.3032 24.1887   13         1.6
 2021 MAR 18   21 04 51.3 34.9356 26.2674   18         2.0
 2021 MAR 18   21 24 52.0 39.7609 22.0665    5         1.2
 2021 MAR 18   22 01 27.0 36.8106 23.1949   76         2.4
 2021 MAR 18   22 01 29.7 39.7426 22.1031    6         1.5
 2021 MAR 18   22 03 18.3 37.7852 26.0619   14         2.7
 2021 MAR 18   23 03 54.4 39.8689 21.9420   12         1.8
 2021 MAR 18   23 07 46.6 37.1494 23.5538   88         2.3
 2021 MAR 18   23 32 07.1 38.3684 24.0221   14         1.7
 2021 MAR 18   23 39 03.4 38.3684 24.0111   20         1.6
 2021 MAR 18   23 39 54.7 38.3629 23.9873   17         1.7
 2021 MAR 18   23 47 27.2 39.7646 22.1031    8         1.3
 2021 MAR 18   23 54 58.3 38.8499 20.8900   18         1.6
 2021 MAR 18   23 58 58.2 38.8962 19.5090    9         2.5
 2021 MAR 19   00 02 40.7 36.5236 25.5446   13         2.6
 2021 MAR 19   00 07 36.4 36.5282 25.5666    9         2.4
 2021 MAR 19   00 13 18.9 38.1432 23.3244    5         1.2
 2021 MAR 19   00 18 25.8 35.2849 24.2665   13         2.0
 2021 MAR 19   01 01 40.5 39.6309 22.2450    9         1.5
 2021 MAR 19   01 10 49.0 39.7792 21.9951    8         1.8
 2021 MAR 19   01 49 10.2 39.8543 21.9987   11         1.6
 2021 MAR 19   01 54 09.9 37.7641 22.1242   17         1.6
 2021 MAR 19   01 56 54.2 39.8296 22.0390    7         1.4
 2021 MAR 19   01 59 32.7 39.7563 21.9630   18         2.1
 2021 MAR 19   02 10 40.3 39.9083 21.8852    9         2.3
 2021 MAR 19   02 33 29.9 37.9486 20.1398   14         2.1
 2021 MAR 19   02 45 07.9 39.8442 21.9859    6         0.4
 2021 MAR 19   02 45 25.8 39.7385 22.0889    6         0.2
 2021 MAR 19   02 45 45.7 39.7728 22.0702    6         0.8
 2021 MAR 19   02 46 36.1 39.8351 22.0363    8         1.9
 2021 MAR 19   03 01 20.3 40.1248 21.0287   13         2.6
 2021 MAR 19   03 03 57.9 39.7018 22.0798    9         1.8
 2021 MAR 19   03 06 20.9 40.1344 20.9880   14         2.3
 2021 MAR 19   03 12 01.4 40.1262 21.0027   11         2.0
 2021 MAR 19   03 14 48.1 39.8341 22.0354    8         0.7
 2021 MAR 19   03 17 49.0 39.7343 22.1910    8         1.6
 2021 MAR 19   03 41 13.1 39.6085 22.2043    5         1.5
 2021 MAR 19   03 50 55.2 38.3908 22.1164   12         2.0
 2021 MAR 19   03 54 30.0 38.3867 21.9859    7         0.6
 2021 MAR 19   04 05 06.1 40.1866 20.9587   17         2.3
 2021 MAR 19   04 16 37.2 39.8186 21.9200    9         2.3
 2021 MAR 19   04 25 20.3 39.8387 21.9145    7         1.7
 2021 MAR 19   04 49 57.3 39.7224 22.1947    8         1.8
 2021 MAR 19   05 12 30.5 39.7838 22.0903    4         1.6
 2021 MAR 19   05 33 03.0 40.1633 21.1459    7         2.1
 2021 MAR 19   05 55 58.6 39.7334 22.0830    4         1.3
 2021 MAR 19   05 58 25.4 39.8039 21.9218    6         1.7
 2021 MAR 19   07 00 03.3 39.6584 22.2578   12         1.7
 2021 MAR 19   07 09 33.4 38.4000 21.7300    9         1.3
 2021 MAR 19   07 19 40.9 37.9541 22.2510    6         1.1
 2021 MAR 19   07 21 56.9 39.8030 21.9118    6         2.1
 2021 MAR 19   07 28 29.1 38.9502 21.1084   22         1.8
 2021 MAR 19   07 33 06.2 39.7824 21.9681    8         3.3
 2021 MAR 19   08 03 23.2 39.8112 21.9337    5         1.4
 2021 MAR 19   08 15 49.7 39.7847 21.9557    9         1.6
 2021 MAR 19   08 25 28.4 39.7710 22.0390    6         1.8
 2021 MAR 19   08 54 31.0 34.7150 23.0365   24         3.0
 2021 MAR 19   09 02 58.7 37.4561 22.1045   11         1.7
 2021 MAR 19   09 45 37.6 39.5998 22.2780    7         2.1
 2021 MAR 19   10 25 31.5 39.6245 22.2450    5         2.7
 2021 MAR 19   10 42 26.0 39.7581 22.0985    6         1.6
 2021 MAR 19   11 46 40.4 39.7916 22.0267    7         2.0
 2021 MAR 19   12 20 24.6 39.7673 22.0839    7         0.9
 2021 MAR 19   12 29 27.7 38.7808 23.3487   10         1.9
 2021 MAR 19   12 45 40.6 39.7755 22.0692    5         1.5
 2021 MAR 19   12 56 37.7 39.7211 22.1796   10         1.8
 2021 MAR 19   13 11 15.4 39.6666 22.2441    8         2.1
 2021 MAR 19   13 55 54.4 39.7701 22.0766    6         1.6
 2021 MAR 19   14 01 12.7 37.3306 20.7669    6         2.4
 2021 MAR 19   14 23 11.9 39.8140 22.0482   10         1.3
 2021 MAR 19   14 52 29.6 39.7751 22.0285    4         1.3
 2021 MAR 19   15 47 25.8 37.2794 20.5417   15         2.2
 2021 MAR 19   15 50 17.6 39.8122 22.0738    5         3.8
 2021 MAR 19   15 58 35.6 39.8323 21.9557    3         2.9
 2021 MAR 19   16 10 42.8 39.8085 21.9621    5         1.4
 2021 MAR 19   16 30 35.0 39.8158 22.0088    5         2.3
 2021 MAR 19   16 40 47.2 39.8314 21.9685    3         2.8
 2021 MAR 19   16 57 29.1 38.3743 22.0102    8         1.9
 2021 MAR 19   17 17 45.2 39.8286 22.0171    7         1.7
 2021 MAR 19   17 20 35.8 39.8099 22.0084    5         2.2
 2021 MAR 19   17 42 54.1 39.8222 22.0454    8         1.6
 2021 MAR 19   17 48 21.3 39.8369 22.0546    6         1.8
 2021 MAR 19   18 23 29.2 39.8717 21.9109    8         1.8
 2021 MAR 19   18 26 24.0 39.8222 22.0235    6         1.8
 2021 MAR 19   18 28 58.4 37.6163 23.2681   26         1.7
 2021 MAR 19   18 38 41.7 39.7801 22.1077   10         1.7
 2021 MAR 19   19 17 48.9 39.6986 22.1608    9         2.4
 2021 MAR 19   19 38 37.7 37.9271 23.1175   11         1.2
 2021 MAR 19   19 55 24.2 39.6931 22.1645    7         1.2
 2021 MAR 19   19 59 33.1 39.8044 22.0486    9         1.8
 2021 MAR 19   20 01 59.0 37.8644 23.0988    6         1.2
 2021 MAR 19   20 17 08.0 38.2896 21.6673   31         1.7
 2021 MAR 19   20 18 10.8 39.7343 22.1004    5         1.4
 2021 MAR 19   20 20 13.9 37.8323 23.0283   18         1.3
 2021 MAR 19   20 30 52.8 38.3080 21.4915   20         1.1
 2021 MAR 19   20 33 51.6 36.0077 22.7179   56         2.3
 2021 MAR 19   20 39 19.0 39.7865 22.1114   10         3.8
 2021 MAR 19   20 50 49.8 39.7018 22.0908    8         1.9
 2021 MAR 19   21 01 46.4 37.7463 23.1656   16         1.1
 2021 MAR 19   21 03 52.0 38.4128 21.9608    8         1.1
 2021 MAR 19   21 29 17.3 39.3663 20.5257   16         2.3
 2021 MAR 19   21 34 10.7 39.8273 22.0404    7         2.8
 2021 MAR 19   21 40 31.2 39.7893 22.1013    9         2.7
 2021 MAR 19   22 03 48.7 38.3194 21.4883   21         1.1
 2021 MAR 19   22 16 56.5 34.7699 24.5782   34         1.7
 2021 MAR 19   22 28 07.4 39.7911 22.0171    8         1.5
 2021 MAR 19   22 28 59.6 38.3171 21.4851   23         1.9
 2021 MAR 19   22 39 42.9 36.3107 27.7615   65         2.6
 2021 MAR 19   23 01 27.1 39.7911 22.0921    8         1.7
 2021 MAR 19   23 22 23.5 39.7673 22.0857    6         1.3
 2021 MAR 19   23 27 20.3 39.6602 22.2807   10         1.6
 2021 MAR 19   23 40 35.1 39.7902 22.0876   10         1.6
 2021 MAR 19   23 45 08.6 34.8505 23.1683   69         2.3
 2021 MAR 19   23 50 23.2 39.8122 21.9695    6         1.8
 2021 MAR 20   00 04 36.0 33.6898 26.0250   12         2.7
 2021 MAR 20   00 09 52.2 39.6382 22.2276    8         2.1
 2021 MAR 20   00 13 51.7 39.6547 22.3586    9         2.1
 2021 MAR 20   00 26 05.0 38.3134 21.4842   22         1.6
 2021 MAR 20   00 38 55.3 39.7975 21.9713    8         2.3
 2021 MAR 20   01 12 28.9 39.7298 22.1370    5         1.0
 2021 MAR 20   01 14 21.3 39.7897 22.1072    8         2.2
 2021 MAR 20   01 17 45.1 39.7856 21.9521    8         2.1
 2021 MAR 20   01 32 21.1 38.3043 21.4888   20         0.8
 2021 MAR 20   01 34 07.4 38.3121 21.5012   20         1.5
 2021 MAR 20   02 04 08.6 39.8245 21.9479   10         2.2
 2021 MAR 20   02 19 12.0 39.7769 21.9736    6         2.1
 2021 MAR 20   02 25 58.8 39.7929 22.0830    7         1.9
 2021 MAR 20   02 50 12.1 39.6295 22.2565    6         1.9
 2021 MAR 20   02 53 57.5 39.7627 22.1397    9         1.4
 2021 MAR 20   02 56 54.2 39.6323 22.2391    6         1.7
 2021 MAR 20   03 03 39.6 39.7879 22.0853    8         1.8
 2021 MAR 20   03 09 08.2 35.5765 27.1500   24         3.9
 2021 MAR 20   03 10 01.1 39.6648 22.3512    8         2.6
 2021 MAR 20   03 17 16.1 34.8798 23.1903    7         2.6
 2021 MAR 20   03 33 51.3 38.8408 23.4636   14         1.7
 2021 MAR 20   03 36 51.9 35.4730 27.1674   26         3.6
 2021 MAR 20   03 47 28.6 38.3263 21.8495    9         1.2
 2021 MAR 20   03 48 59.1 37.8960 24.0642    8         1.5
 2021 MAR 20   03 52 23.9 39.7366 22.0926    4         1.9
 2021 MAR 20   04 07 21.5 37.6534 24.3068   11         1.9
 2021 MAR 20   04 32 09.6 38.0589 23.0864    7         1.4
 2021 MAR 20   04 39 43.2 38.0424 23.0855    6         1.4
 2021 MAR 20   04 52 40.4 39.7939 21.9621    6         1.5
 2021 MAR 20   05 09 09.1 38.1326 23.0502   16         1.7
 2021 MAR 20   05 23 57.9 39.8213 22.0354    6         1.6
 2021 MAR 20   05 26 19.3 39.7710 22.0573    9         1.5
 2021 MAR 20   05 27 25.3 34.6857 23.9740   30         2.4
 2021 MAR 20   05 34 50.7 38.1303 21.9017   16         1.2
 2021 MAR 20   05 48 19.5 39.7820 22.0949    6         1.1
 2021 MAR 20   05 55 31.1 39.7765 22.0811    6         2.5
 2021 MAR 20   06 07 00.7 39.7298 22.1846    9         1.9
 2021 MAR 20   06 35 08.2 38.5757 25.2676   27         2.4
 2021 MAR 20   06 46 51.0 38.4096 21.9987    8         1.5
 2021 MAR 20   07 28 36.9 39.0404 21.8715   17         2.2
 2021 MAR 20   07 44 12.6 38.4581 23.3986   15         1.8
 2021 MAR 20   07 54 15.4 38.5886 25.2988   29         2.3
 2021 MAR 20   08 13 00.3 39.8241 21.9942    7         1.7
 2021 MAR 20   08 16 31.0 39.7627 22.0839    7         1.5
 2021 MAR 20   08 39 03.4 39.7330 22.0999    6         1.6
 2021 MAR 20   08 47 10.6 39.7783 22.1049    9         2.5
 2021 MAR 20   09 08 24.9 39.7884 22.0976   12         1.8
 2021 MAR 20   09 12 28.0 39.7078 22.1645    9         1.6
 2021 MAR 20   09 22 58.7 39.7980 21.9489    7         1.6
 2021 MAR 20   09 37 34.1 34.7617 23.8651   20         2.2
 2021 MAR 20   09 40 46.7 37.2318 22.2043   21         1.7
 2021 MAR 20   09 41 59.3 39.7728 22.0491   10         1.7
 2021 MAR 20   09 46 56.4 39.7289 22.1773    9         1.7
 2021 MAR 20   09 58 46.8 39.7701 22.0949    8         2.7
 2021 MAR 20   10 06 03.5 39.7536 22.0848    6         2.0
 2021 MAR 20   10 14 43.0 38.2365 24.1997   17         1.5
 2021 MAR 20   10 41 31.2 39.7893 21.9484    6         1.9
 2021 MAR 20   10 48 53.4 37.7147 21.1601   19         1.6
 2021 MAR 20   11 51 57.4 36.5067 21.8436   13         3.0
 2021 MAR 20   12 02 35.0 39.7737 22.0775    6         2.0
 2021 MAR 20   12 13 55.6 39.8067 21.9484    6         2.6
 2021 MAR 20   12 21 40.3 38.3748 22.1141   13         1.4
 2021 MAR 20   12 24 28.0 38.5785 23.7469   18         1.9
 2021 MAR 20   13 05 28.1 39.7920 22.0793    9         3.1
 2021 MAR 20   13 23 07.6 37.8543 21.3272   18         1.8
 2021 MAR 20   13 37 42.2 38.3629 22.1004   11         1.4
 2021 MAR 20   14 06 06.4 39.4913 25.7327   13         2.1
 2021 MAR 20   14 48 06.0 36.7708 22.9115   10         1.9
 2021 MAR 20   15 31 31.1 38.3748 22.1068   12         1.5
 2021 MAR 20   16 15 08.1 38.0081 25.9415   22         3.4
 2021 MAR 20   16 25 22.1 37.7023 21.4536   26         2.0
 2021 MAR 20   16 30 27.0 39.7682 22.0656    6         2.1
 2021 MAR 20   16 33 14.4 39.7801 22.0894    6         1.7
 2021 MAR 20   16 41 15.6 39.7325 22.1040    6         1.4
 2021 MAR 20   16 58 57.5 39.4528 23.9951   14         2.2
 2021 MAR 20   17 21 14.5 39.7408 22.1150    6         1.5
 2021 MAR 20   17 37 47.2 39.6263 22.1690    6         1.8
 2021 MAR 20   17 38 10.5 38.2750 22.0720    8         2.1
 2021 MAR 20   17 43 53.4 39.7801 22.0912    7         2.0
 2021 MAR 20   18 00 20.8 38.2759 22.0702    9         1.3
 2021 MAR 20   18 52 08.8 39.7939 22.0061    6         1.7
 2021 MAR 20   18 56 19.2 39.1754 22.4469   18         2.0
 2021 MAR 20   18 57 20.7 39.1763 22.4167   19         1.8
 2021 MAR 20   18 58 21.8 39.7893 22.0930   11         1.4
 2021 MAR 20   19 10 51.3 37.8804 23.1139   18         1.5
 2021 MAR 20   19 36 39.6 39.8634 21.9630    6         1.4
 2021 MAR 20   20 12 29.2 34.5538 26.1859   12         2.7
 2021 MAR 20   20 23 30.6 39.7783 22.0656    6         1.7
 2021 MAR 20   21 08 13.0 39.8332 22.0290   10         1.7
 2021 MAR 20   21 21 02.6 38.2256 22.6122   13         2.0
 2021 MAR 20   21 27 41.8 39.4341 24.0211   18         2.6
 2021 MAR 20   21 49 10.9 39.8067 21.9658    7         1.5
 2021 MAR 20   22 09 19.2 39.7220 22.1732    8         1.7
 2021 MAR 20   22 35 44.8 39.7252 22.1773    8         2.0
 2021 MAR 20   22 38 18.8 38.3748 22.1123   10         0.9
 2021 MAR 20   22 50 38.2 35.1654 27.6837    5         4.5
 2021 MAR 20   23 03 33.8 35.1947 27.6654   35         3.9
 2021 MAR 20   23 09 45.9 38.3629 22.1379   10         1.3
 2021 MAR 20   23 26 36.3 39.7824 22.1054    6         1.3
 2021 MAR 20   23 27 14.0 38.3492 21.7662   11         1.7
 2021 MAR 20   23 31 46.9 36.4774 21.5451   20         2.3
 2021 MAR 20   23 49 45.4 39.7975 22.0107    8         1.2
 2021 MAR 20   23 55 15.6 35.1544 27.5592   14         3.2
 2021 MAR 21   00 00 57.3 38.1908 24.0990   12         1.3
 2021 MAR 21   00 05 46.1 39.6931 22.2249   10         2.5
 2021 MAR 21   00 10 18.6 39.7604 22.0688    7         2.8
 2021 MAR 21   00 18 17.0 39.8149 21.9438    8         2.2
 2021 MAR 21   00 21 25.0 39.4455 23.9859   16         2.5
 2021 MAR 21   00 35 54.9 34.7763 24.0408   17         2.0
 2021 MAR 21   00 49 27.3 37.4606 20.4282    7         2.0
 2021 MAR 21   00 54 49.6 39.7087 22.1581    8         2.4
 2021 MAR 21   01 40 52.2 39.7073 22.1622    8         1.5
 2021 MAR 21   01 44 26.0 37.1878 20.6406    8         2.2
 2021 MAR 21   01 49 09.6 35.2606 27.6031    9         2.9
 2021 MAR 21   01 56 14.5 38.2979 23.7309   17         2.4
 2021 MAR 21   01 58 54.5 39.6144 22.2331    8         2.0
 2021 MAR 21   02 08 03.1 39.7234 22.1214    6         1.7
 2021 MAR 21   02 12 38.0 39.7636 22.0830    6         1.9
 2021 MAR 21   02 14 33.8 36.1798 22.6337    6         2.3
 2021 MAR 21   02 31 26.5 39.7737 22.0711    6         1.6
 2021 MAR 21   02 52 30.5 39.8341 22.0216    6         1.8
 2021 MAR 21   02 54 01.8 38.6290 22.7669    5         1.6
 2021 MAR 21   02 56 17.1 39.7884 22.0427    9         1.1
 2021 MAR 21   03 06 23.8 39.8396 21.9585   10         1.1
 2021 MAR 21   03 36 05.9 39.7655 22.0857    6         1.4
 2021 MAR 21   03 54 48.6 39.7746 22.0125    6         1.6
 2021 MAR 21   04 34 15.9 37.4973 20.5893   28         2.0
 2021 MAR 21   04 44 52.0 38.3080 21.4851   22         2.0
 2021 MAR 21   05 23 34.4 39.8241 22.0482    5         1.4
 2021 MAR 21   05 33 34.4 34.0820 25.6326   11         2.9
 2021 MAR 21   06 11 37.1 38.3052 23.6870    6         2.2
 2021 MAR 21   06 16 42.6 39.7527 22.1095    6         0.8
 2021 MAR 21   06 42 53.1 39.7966 21.9273    6         1.3
 2021 MAR 21   06 45 18.9 39.7783 22.0601    8         2.7
 2021 MAR 21   07 00 25.1 39.7810 22.0683    9         2.5
 2021 MAR 21   07 08 24.3 35.2718 27.5620   10         2.7
 2021 MAR 21   07 21 41.5 39.7810 22.0564   10         1.9
 2021 MAR 21   07 38 58.3 39.8369 22.0271    8         1.5
 2021 MAR 21   07 48 47.8 39.7430 22.0843    5         1.3
 2021 MAR 21   08 01 07.3 39.7829 22.0857   10         2.0
 2021 MAR 21   08 07 48.4 38.2887 23.6742   16         1.7
 2021 MAR 21   08 23 37.6 39.7527 22.0775    7         1.4
 2021 MAR 21   08 36 09.8 39.8085 21.9301    8         1.5
 2021 MAR 21   08 37 55.8 38.3093 23.6829   14         2.0
 2021 MAR 21   09 10 25.7 37.4332 20.5673    5         2.3
 2021 MAR 21   09 32 39.8 39.0276 23.3034   18         1.8
 2021 MAR 21   09 45 01.6 39.7417 22.0949    6         1.7
 2021 MAR 21   10 02 53.9 39.7838 22.0784   10         1.8
 2021 MAR 21   10 05 30.1 39.7188 22.1919    9         1.8
 2021 MAR 21   10 23 41.9 39.6895 22.2194    9         1.8
 2021 MAR 21   11 05 53.0 39.7820 21.9539    8         1.6
 2021 MAR 21   11 10 53.7 39.8085 22.0262    6         3.2
 2021 MAR 21   12 07 20.6 38.7813 21.1107   17         1.6
 2021 MAR 21   12 09 52.7 39.8012 21.9374    9         2.3
 2021 MAR 21   12 32 01.6 39.6126 22.2276    6         2.1
 2021 MAR 21   12 56 49.6 39.8140 22.0326    7         1.6
 2021 MAR 21   13 12 31.5 39.8277 22.0116    6         1.7
 2021 MAR 21   13 26 49.9 39.7774 22.1059    8         1.8
 2021 MAR 21   13 35 55.9 39.7929 21.9749   11         1.8
 2021 MAR 21   13 58 19.4 38.4279 21.9713   11         3.1
 2021 MAR 21   14 13 16.2 39.7060 22.1764    9         1.8
 2021 MAR 21   14 26 05.2 39.7824 22.0706    8         2.2
 2021 MAR 21   14 57 51.4 39.4558 23.6911   10         2.5
 2021 MAR 21   15 02 00.7 39.7316 22.0967    6         1.1
 2021 MAR 21   15 46 47.9 39.7984 22.0299    9         1.7
 2021 MAR 21   16 13 31.5 39.7774 22.1407    9         1.4
 2021 MAR 21   16 19 05.9 39.4579 23.9955   16         2.3
 2021 MAR 21   16 22 51.2 36.3089 21.6531   31         2.4
 2021 MAR 21   16 32 41.2 39.7751 22.0963    8         3.4
 2021 MAR 21   16 36 51.2 39.7655 22.1022    8         2.0
 2021 MAR 21   16 43 27.7 39.7362 22.1974   11         2.1
 2021 MAR 21   16 54 59.9 39.7591 22.0638    7         2.1
 2021 MAR 21   17 15 53.4 39.7801 22.0903   10         4.1
 2021 MAR 21   17 30 35.3 39.7774 22.0427    8         2.5
 2021 MAR 21   18 47 07.6 39.8296 22.0015    5         1.5
 2021 MAR 21   19 10 53.7 34.5209 23.4357   31         2.3
 2021 MAR 21   19 12 38.7 39.7948 21.9319    7         2.3
 2021 MAR 21   19 37 58.2 34.8367 23.9932   29         2.7
 2021 MAR 21   19 59 10.5 37.5742 20.6973   20         2.6
 2021 MAR 21   20 09 08.2 39.6053 22.2652    7         1.5
 2021 MAR 21   20 22 23.7 39.7188 22.1352    7         1.0
 2021 MAR 21   20 37 39.9 38.3656 22.0665    4         1.1
 2021 MAR 21   20 41 56.6 34.8697 25.3189   29         2.2
 2021 MAR 21   20 58 10.6 39.8186 22.0418    5         1.5
 2021 MAR 21   21 12 53.7 38.3702 21.8779    8         1.2
 2021 MAR 21   21 23 34.8 39.7884 22.0894   10         1.4
 2021 MAR 21   21 31 02.2 39.7911 22.0381    4         1.7
 2021 MAR 21   23 10 05.2 39.8726 22.0262    5         1.6
 2021 MAR 21   23 13 35.2 38.7337 21.8559   17         1.8
 2021 MAR 21   23 22 40.0 39.7256 22.1146    3         1.1
 2021 MAR 21   23 49 20.3 39.7563 22.1645   10         1.2
 2021 MAR 22   00 19 29.7 38.0081 25.9250   18         2.2
 2021 MAR 22   00 24 08.4 39.7691 22.0793    4         2.1
 2021 MAR 22   00 26 11.5 39.8232 22.0253    7         1.9
 2021 MAR 22   00 28 07.1 39.7737 22.0656    3         1.7
 2021 MAR 22   01 28 33.2 38.9085 23.5286   16         1.9
 2021 MAR 22   01 35 31.5 39.7728 22.0473   10         3.3
 2021 MAR 22   01 49 07.7 39.7829 22.0473    9         1.6
 2021 MAR 22   02 02 22.7 39.8318 22.0432    7         1.6
 2021 MAR 22   02 07 16.7 39.7307 22.2157   14         2.1
 2021 MAR 22   02 14 09.9 38.0772 22.2926   12         2.4
 2021 MAR 22   02 16 38.2 39.7755 22.0537    9         2.0
 2021 MAR 22   02 22 36.7 38.2210 20.5009   19         2.2
 2021 MAR 22   02 35 28.8 39.7563 22.1297    6         1.7
 2021 MAR 22   03 01 46.1 39.8286 22.0464    6         2.3
 2021 MAR 22   03 41 18.9 38.0745 22.3064   11         1.5
 2021 MAR 22   04 08 57.8 39.7719 22.0876    8         2.0
 2021 MAR 22   04 21 56.2 37.7042 23.0722   18         1.5
 2021 MAR 22   04 25 39.5 38.2072 22.7220   16         1.6
 2021 MAR 22   04 44 46.3 38.0704 22.2867   12         2.3
 2021 MAR 22   05 15 58.7 39.7266 22.1484    6         1.8
 2021 MAR 22   05 19 45.0 38.0136 22.2629   10         1.7
 2021 MAR 22   05 33 31.0 39.8007 21.9351    6         1.4
 2021 MAR 22   06 12 01.2 39.8300 22.0120    5         2.3
 2021 MAR 22   06 23 28.5 37.5925 24.1891    9         1.6
 2021 MAR 22   06 25 43.5 39.7591 22.1288    6         1.7
 2021 MAR 22   06 34 05.8 38.4828 21.6536    8         1.3
 2021 MAR 22   07 09 35.2 38.3661 22.0953    8         2.5
 2021 MAR 22   07 29 25.9 39.8305 22.0033    6         1.8
 2021 MAR 22   07 41 25.9 38.0690 22.2954   11         2.0
 2021 MAR 22   07 44 05.9 37.8745 27.2195   11         3.0
 2021 MAR 22   07 49 33.4 39.7572 22.1672   12         2.5
 2021 MAR 22   08 20 23.4 37.4817 20.5188   11         2.4
 2021 MAR 22   08 27 47.4 39.8396 22.0052    6         2.1
 2021 MAR 22   09 03 24.0 39.7545 22.0839    6         1.0
 2021 MAR 22   09 15 06.7 40.5762 18.9551    7         3.0
 2021 MAR 22   10 15 46.2 38.3784 22.0894    9         1.8
 2021 MAR 22   10 21 02.2 38.4773 21.6628    9         1.5
 2021 MAR 22   10 24 36.8 39.6986 22.1681    8         1.0
 2021 MAR 22   10 27 05.1 38.4622 21.6586   12         2.2
 2021 MAR 22   10 37 02.5 39.8250 22.0409    6         1.7
 2021 MAR 22   10 41 13.0 39.8305 22.0436    7         1.7
 2021 MAR 22   10 51 39.0 39.7234 22.1892    9         1.5
 2021 MAR 22   11 32 30.9 38.4590 21.6646   14         2.0
 2021 MAR 22   12 09 06.5 35.1480 25.8975   51         2.7
 2021 MAR 22   12 15 54.7 39.7728 21.9795    6         1.4
 2021 MAR 22   12 40 37.8 39.7714 22.0706    6         2.0
 2021 MAR 22   13 00 32.0 39.8392 22.0432    8         1.6
